,SMARTPHONE_W63,SNSUSE_W63,VIDEOGAME_W63,TIMESPEND_a_W63,TIMESPEND_b_W63,TIMESPEND_c_W63,DOV_KIDS0TO11_W63,DOV_KIDS12PLUS_W63,KIDSATHOME_W63,EASYHARD_W63,PARENTTIME_W63,PARENTJOB_W63,SHARENTING1_W63,SHARENTING2_a_W63,SHARENTING2_b_W63,SHARENTING2_c_W63,SHARENTING3_a_W63,SHARENTING3_b_W63,SHARENTING3_c_W63,SHARENTING3_d_W63,SHARENTING4_W63,SHARENTING5_W63,SHARENTING6_W63,RISKBEN_W63,MOBILEHELP_a_W63,MOBILEHELP_b_W63,MOBILEHELP_c_W63,MOBILEHELP_d_W63,MOBILEHELP_e_W63,ACCEPTUSE_a_W63,ACCEPTUSE_b_W63,ACCEPTOWN_a_W63,ACCEPTOWN_b_W63,REGCONTENT_a_W63,REGCONTENT_b_W63,REGCONTENT_c_W63,APPRO_W63,DISTRACTED_W63
1823,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,0,2,NA,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,15-17 years old or older,9-11 years old,12-14 years old,9-11 years old,Some,Some,A lot,NA,Sometimes
1824,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",Too much time,NA,About the right amount of time,2,2,Yes,About the same,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,This is not acceptable for children,5-8 years old,12-14 years old,12-14 years old,Some,Not much,A lot,Very confident,Sometimes
1825,"No, I do not have a smartphone","Yes, I use social media sites","Yes, I play video games",NA,About the right amount of time,Too little time,0,1,NA,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Help a lot,Help a lot,Help a little,Make no difference,12-14 years old,5-8 years old,This is not acceptable for children,12-14 years old,A lot,A lot,A lot,NA,NA
1826,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Help a little,Hurt a little,Hurt a little,15-17 years old or older,9-11 years old,15-17 years old,9-11 years old,Not much,Some,A lot,Somewhat confident,Sometimes
1827,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Help a little,Hurt a little,15-17 years old or older,9-11 years old,9-11 years old,5-8 years old,Not much,Not much,A lot,Somewhat confident,Sometimes
1828,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",About the right amount of time,NA,About the right amount of time,0,10,NA,About the same,The right amount of time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,12-14 years old,This is not acceptable for children,12-14 years old,Some,None at all,A lot,NA,Never
1829,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",About the right amount of time,NA,NA,1,0,Yes,About the same,The right amount of time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Make no difference,Hurt a lot,12-14 years old,9-11 years old,12-14 years old,15-17 years old,Not much,None at all,A lot,Very confident,Never
1830,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,2,0,Yes,About the same,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Help a little,Hurt a little,Help a little,12-14 years old,3-4 years old,9-11 years old,5-8 years old,Some,Not much,A lot,Very confident,Often
1831,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,3,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Minor reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Often,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Make no difference,Help a little,Help a little,Hurt a lot,12-14 years old,3-4 years old,12-14 years old,9-11 years old,Some,Some,Some,Not too confident,Sometimes
1832,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,0,4,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,12-14 years old,9-11 years old,12-14 years old,12-14 years old,A lot,A lot,A lot,NA,Often
1833,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",About the right amount of time,NA,NA,0,2,NA,About the same,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Make no difference,Make no difference,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Some,Some,A lot,NA,Rarely
1834,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,7,2,Yes,About the same,Too little time together,Only a fair job,"No, I have never done this",NA,NA,NA,Not a reason,Not a reason,Not a reason,Not a reason,Too little about their young children,Sometimes,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a lot,Help a lot,Help a lot,Help a lot,Help a lot,This is not acceptable for children,This is not acceptable for children,This is not acceptable for children,This is not acceptable for children,None at all,None at all,None at all,Not at all confident,Never
1835,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,0,Yes,Harder than it was 20 years ago,Too little time together,Only a fair job,"Yes, I have done this",Major reason,Major reason,Major reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Help a lot,Help a lot,Help a lot,Help a lot,12-14 years old,5-8 years old,9-11 years old,5-8 years old,A lot,A lot,A lot,Very confident,Sometimes
1836,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Sometimes,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Hurt a little,Make no difference,Make no difference,Make no difference,9-11 years old,9-11 years old,9-11 years old,5-8 years old,Some,Not much,A lot,Somewhat confident,Refused
1837,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too much time,1,1,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Make no difference,Help a little,Help a little,Help a lot,Make no difference,15-17 years old or older,5-8 years old,15-17 years old,9-11 years old,Some,Some,A lot,Very confident,Sometimes
1838,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,2,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Help a little,Help a little,Make no difference,Make no difference,12-14 years old,9-11 years old,12-14 years old,3-4 years old,A lot,Not much,A lot,Somewhat confident,Often
1839,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Hurt a little,Hurt a little,Hurt a little,12-14 years old,9-11 years old,12-14 years old,9-11 years old,A lot,Not much,A lot,NA,Sometimes
1840,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,0,1,NA,About the same,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Minor reason,Major reason,Major reason,About the right amount about their young children,Never,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Hurt a little,Hurt a little,Hurt a little,Help a little,12-14 years old,9-11 years old,9-11 years old,5-8 years old,A lot,None at all,A lot,NA,Sometimes
1841,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,2,0,Refused,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Rarely,Sometimes,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Help a little,Help a lot,Help a lot,Hurt a little,9-11 years old,3-4 years old,12-14 years old,3-4 years old,Some,Some,A lot,Somewhat confident,Sometimes
1842,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too little time,NA,NA,1,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Help a little,Help a little,Hurt a little,This is not acceptable for children,9-11 years old,12-14 years old,5-8 years old,A lot,Some,A lot,Very confident,Sometimes
1843,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,1,No,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Help a little,Help a little,Help a little,Help a little,9-11 years old,5-8 years old,9-11 years old,5-8 years old,A lot,A lot,A lot,Very confident,Rarely
1844,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,1,1,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Often,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,12-14 years old,5-8 years old,9-11 years old,3-4 years old,Some,Some,A lot,Not too confident,Often
1845,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,0,1,NA,Harder than it was 20 years ago,Too little time together,Only a fair job,"Yes, I have done this",Minor reason,Major reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a little,Help a lot,Help a lot,Help a lot,Hurt a little,15-17 years old or older,3-4 years old,12-14 years old,5-8 years old,Some,None at all,A lot,NA,Often
1846,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,1,0,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Sometimes,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Help a lot,Help a lot,Help a lot,Help a lot,15-17 years old or older,0-2 years old,9-11 years old,5-8 years old,Some,A lot,A lot,Very confident,Sometimes
1847,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Hurt a little,Help a little,Help a little,Help a little,9-11 years old,3-4 years old,9-11 years old,9-11 years old,Some,Some,A lot,NA,Rarely
1848,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,0,1,NA,Harder than it was 20 years ago,Too much time together,A very good job,"Yes, I have done this",Not a reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,This is not acceptable for children,This is not acceptable for children,15-17 years old,15-17 years old,A lot,Some,A lot,NA,Rarely
1849,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,0,2,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Minor reason,Major reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,12-14 years old,12-14 years old,9-11 years old,Not much,Not much,Not much,NA,Sometimes
1850,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,Too little time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Hurt a lot,Make no difference,Hurt a little,This is not acceptable for children,5-8 years old,12-14 years old,3-4 years old,A lot,Some,A lot,Very confident,Never
1851,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Major reason,Minor reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Hurt a little,Make no difference,Hurt a lot,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Some,Not much,A lot,Very confident,Sometimes
1852,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,Too much time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Hurt a little,Help a little,Make no difference,Hurt a little,9-11 years old,9-11 years old,9-11 years old,5-8 years old,A lot,A lot,A lot,Somewhat confident,Sometimes
1853,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,2,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Make no difference,Help a little,Make no difference,Hurt a little,12-14 years old,3-4 years old,9-11 years old,12-14 years old,Some,Some,A lot,Somewhat confident,Rarely
1854,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,0,3,NA,About the same,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Help a little,Hurt a little,15-17 years old or older,5-8 years old,9-11 years old,5-8 years old,A lot,Some,A lot,NA,Never
1855,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Help a little,Help a lot,Help a lot,Hurt a little,12-14 years old,5-8 years old,12-14 years old,3-4 years old,A lot,Some,A lot,Somewhat confident,Sometimes
1856,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,3,0,Yes,Harder than it was 20 years ago,Too much time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Help a little,Help a little,Help a little,15-17 years old or older,3-4 years old,15-17 years old,12-14 years old,Some,Not much,A lot,Somewhat confident,Sometimes
1857,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",About the right amount of time,NA,About the right amount of time,0,1,NA,About the same,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Help a little,Hurt a little,15-17 years old or older,9-11 years old,9-11 years old,9-11 years old,Some,Some,Some,NA,Sometimes
1858,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too little time,Too much time,3,1,Yes,Harder than it was 20 years ago,Too little time together,Only a fair job,"Yes, I have done this",Not a reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a little,Help a little,Help a little,Help a lot,Help a lot,15-17 years old or older,3-4 years old,9-11 years old,3-4 years old,A lot,Some,A lot,Very confident,Rarely
1859,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too much time,NA,NA,3,1,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,This is not acceptable for children,This is not acceptable for children,This is not acceptable for children,This is not acceptable for children,Some,Some,A lot,Somewhat confident,Sometimes
1860,"Yes, I have a smartphone",Refused,"No, I do not play video games",Too much time,NA,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Make no difference,Help a lot,Help a little,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,3-4 years old,Some,Some,A lot,Somewhat confident,Sometimes
1861,"Yes, I have a smartphone",Refused,"No, I do not play video games",About the right amount of time,NA,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,12-14 years old,3-4 years old,12-14 years old,12-14 years old,A lot,Not much,A lot,NA,Rarely
1862,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Minor reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Help a little,Help a lot,Help a lot,Help a little,12-14 years old,9-11 years old,9-11 years old,5-8 years old,A lot,Some,A lot,Somewhat confident,Sometimes
1863,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,This is not acceptable for children,This is not acceptable for children,15-17 years old,This is not acceptable for children,Some,Some,A lot,Somewhat confident,Sometimes
1864,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,1,0,Yes,About the same,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Minor reason,Minor reason,Major reason,Minor reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,12-14 years old,9-11 years old,Some,A lot,A lot,Somewhat confident,Often
1865,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,2,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Major reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,Help a little,15-17 years old or older,5-8 years old,12-14 years old,This is not acceptable for children,A lot,Some,A lot,Not at all confident,Sometimes
1866,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too much time,NA,NA,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Help a little,Hurt a little,Hurt a lot,12-14 years old,5-8 years old,12-14 years old,12-14 years old,A lot,A lot,A lot,Not too confident,Often
1867,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,0,1,NA,Easier than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Not a reason,Not a reason,Not a reason,NA,NA,NA,NA,Too little about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Make no difference,Make no difference,Make no difference,Help a little,15-17 years old or older,9-11 years old,9-11 years old,0-2 years old,Not much,A lot,A lot,NA,Often
1868,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,0,1,NA,About the same,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Major reason,Minor reason,Major reason,Too much about their young children,Rarely,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a little,Hurt a lot,15-17 years old or older,9-11 years old,12-14 years old,12-14 years old,A lot,Some,A lot,NA,Rarely
1869,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too little time,Too little time,About the right amount of time,0,2,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Not a reason,Not a reason,Major reason,Not a reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Help a little,Help a little,15-17 years old or older,12-14 years old,12-14 years old,12-14 years old,Some,Some,A lot,NA,Rarely
1870,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Make no difference,Hurt a little,12-14 years old,5-8 years old,12-14 years old,9-11 years old,Some,Some,A lot,Very confident,Sometimes
1871,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too little time,2,0,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Minor reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Help a little,Help a lot,Help a little,Make no difference,9-11 years old,5-8 years old,9-11 years old,5-8 years old,A lot,A lot,A lot,Somewhat confident,Sometimes
1872,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,Hurt a lot,12-14 years old,9-11 years old,9-11 years old,9-11 years old,A lot,Some,A lot,Not too confident,Sometimes
1873,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",About the right amount of time,NA,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a lot,Hurt a little,This is not acceptable for children,12-14 years old,15-17 years old,15-17 years old,Not much,Not much,A lot,Somewhat confident,Sometimes
1874,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,0,2,NA,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Never,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,12-14 years old,5-8 years old,12-14 years old,9-11 years old,A lot,Some,A lot,NA,Sometimes
1875,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,1,1,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a little,Make no difference,Help a little,Hurt a little,Help a little,12-14 years old,3-4 years old,12-14 years old,0-2 years old,Some,Some,A lot,Somewhat confident,Rarely
1876,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Make no difference,Hurt a little,Hurt a little,12-14 years old,9-11 years old,9-11 years old,9-11 years old,Not much,A lot,A lot,Very confident,Sometimes
